AC,ACOUSENCE,ACO-CD21410,4260017182144
ARC,ARC,EUCD2147,743037214728
NVV,BELIEVE,V5137,822186051375
NVV,BELIEVE,V5357,822186053577
NVV,BELIEVE,AM171,822186001714
NVV,BELIEVE,MO782168,822186821688
NVV,BELIEVE,NJ623911,3298496239111
NVV,BELIEVE,OP30358,709861303588
NVV,BELIEVE,V4957,822186049570
NVV,BELIEVE,V4820,822186048207
NVV,BELIEVE,V5068,822186050682
ACTB,BRILLIANT,ACTJ-6012-2,614427601223
ACTB,BRILLIANT,ACTJ-9823-1,614427982322
BC,BRILLIANT,BC0010192,782124101923
BC,BRILLIANT,0183602BC,782124836023
BC,BRILLIANT,BC0031162,782124311629
BC,BRILLIANT,BC0300336,885470003368
BRI,BRILLIANT,BRI94603,5028421946030
BRI,BRILLIANT,BRI93040,5028421930404
BRI OWN,BRILLIANT,BRI94650,5028421946504
BRI OWN,BRILLIANT,BRI94219,5028421942193
CCC,BRILLIANT,0002562CCC,782124025625
BHR,BROKENHIP,BH-001,682384619759
BYU,BYU,TCD-019603VP,714861001228
TAN,BYU,TCD 119602VP,714861003420
CAD,CARPE DIEM,CD-16298,4032324162986
CTR,CENTAUR,CRC2276,44747227627
AME,CHALLENGE,ASCP1325,3760087530254
IGL,CHALLENGE,FC141,5410547951416
QST,CHALLENGE,VKJK 0504,4025796005042
QST,CHALLENGE,VKJK 1314,9783930550975
QST,CHALLENGE,VKJK 1401,4025796014013
CPO,CPOCL1,999275-2,761203927524
CPO,CPOCL1,999587-2,761203958726
CPO,CPOCL1,777423-2,761203742325
CPO,CPOCL1,777767-2,761203776726
CPO,CPOCL1,999107-2,761203910724
CPO,CPOCL1,999257-2,761203925728
ACP,GEBHARDT,ARPCD0032,7640104000327
HGT,HUNGARATON,HGT32161,5991813216120
HGT,HUNGARATON,HGT37841,5991813784124
HGT,HUNGARATON,HGT4004,5991810400423
HGT,HUNGARATON,HGT71139,5991817113920
KK,KKVERLAG,KuK48,4260005910667
LIN,LINN,AKD425,691062042529
LIN,LINN,AKD081,5020305300815
LIN,LINN,CKD273,691062027328
LIN,LINN,CKD465,691062046527
ARS,MEMBRAN,232154,885150321546
NEI,MEMBRAN,232588,885150325889
SCV,MEMBRAN,220541,4011222205414
LSO4,MOD,LSO0037,822231103721
NR,NAVRAS,NRCD0091/92,760452009128
ARTH,NGL,107523,807280752397
ARTH CONS,NGL,101464,807280146493
ARTH CONS,NGL,107387,807280738797
EUR,NGL,2072534,880242725349
EUR,NGL,2058138,880242581389
EUR,NGL,3073984,880242739841
EUR,NGL,3085298,899132000756
EUR,NGL,2057788,880242577887
EUR,NGL,2059728,880242597281
EUR,NGL,2066528,880242665287
EUR,NGL,2055168,880242551689
EUR,NGL,2055918,880242559180
EUR,NGL,2058904,880242589040
EUR,NGL,2058908,880242589088
EUR,NGL,2072258,880242722584
EUR,NGL,2045094,880242450944
EUR,NGL,2052238,880242522382
EUR,NGL,2054619,880242546197
EUR,NGL,2056158,880242561589
EUR,NGL,2057128,880242571281
EUR,NGL,2057558,880242575586
EUR,NGL,2058698,880242586988
EUR,NGL,2066468,880242664686
EUR,NGL,2066798,880242667984
EUR,NGL,2072278,880242722782
EUR,NGL,2072734,880242727343
EUR,NGL,3085248,899132000510
EUR,NGL,3085288,899132000701
EUR,NGL,2011694,880242116949
EUR,NGL,2050406,880242504067
EUR,NGL,2051968,880242519689
EUR,NGL,2053074,880242530745
EUR,NGL,2053279,880242532794
EUR,NGL,2053419,880242534194
EUR,NGL,2053648,880242536488
EUR,NGL,2054518,880242545183
EUR,NGL,2054548,880242545480
EUR,NGL,2054604,880242546043
EUR,NGL,2054988,880242549884
EUR,NGL,2055107,880242551078
EUR,NGL,2055118,880242551184
EUR,NGL,2055188,880242551887
EUR,NGL,2055498,880242554987
EUR,NGL,2056028,880242560285
EUR,NGL,2057238,880242572387
EUR,NGL,2058134,880242581341
EUR,NGL,2058648,880242586483
EUR,NGL,2058724,880242587244
EUR,NGL,2058744,880242587442
EUR,NGL,2058808,880242588081
EUR,NGL,2058874,880242588746
EUR,NGL,2059038,880242590381
EUR,NGL,2059234,880242592347
EUR,NGL,2059388,880242593887
EUR,NGL,2061084,880242610843
EUR,NGL,2061268,880242612687
EUR,NGL,2066427,880242664273
EUR,NGL,2066558,880242665584
EUR,NGL,2066738,880242667380
EUR,NGL,2072454,880242724540
EUR,NGL,2072598,880242725981
EUR,NGL,2075068,880242750686
EUR,NGL,2087898,880242878984
EUR,NGL,3073514,880242735140
EUR,NGL,3073994,880242739940
EUR,NGL,3074974,880242749741
EUR,NGL,3077508,899132000480
EUR,NGL,3078048,899132000626
EUR,NGL,3078628,880242786289
NED,NGL,8558070,730099507028
NED,NGL,8558028-29,636943802823
NCL,NGL/ADSM1,8550666,730099566629
CAP,NGLCONS,C10465,4006408104650
CAP,NGLCONS,C60049-2,845221004419
CAP,NGLCONS,C60086,845221004532
HAE,NGLCONS,98340,40888834021
ODE,NGLCONS,ODE 733-2,761195073322
OEH,NGLCONS,OC 072,4260034860728
OEH,NGLCONS,OC 633,4260034866331
OEH,NGLCONS,OC 677,4260034866775
PEN,NGLCONS,PTC5186347,827949034763
TUD,NGLCONS,T7008,812973010081
SAV,NIMBUS,SDL389,5013133438928
CPH,NOTE1,CHR77258,4010072772589
NA,SELECT-DIR,NA307712,9789626340776
NA,SELECT-DIR,NAX36112,9789626343616
NA,SELECT-DIR,NA0130,9781843797203
NA,SELECT-DIR,NAX88412,9789626348840
SUP,SUPRAPHON,SU3200-2,99925320027
SUP,SUPRAPHON,SU3669-2,99925366926
SUP,SUPRAPHON,SU3689-2,99925368920
SUP,SUPRAPHON,SU3695-2,99925369521
NEW,T2,8802002,8718247710027
NEW,T2,8802004,8718247710041
NEW,T2,8802153,8718247711536
URA,URANIA,URN22.282,8025726222828
URA,URANIA,WS121.114,8051773571145
URA,URANIA,LDV14005,8051776570053
URA,URANIA,SP4212,8025726042129
VRS,VARESE,3020668232,30206682328
