ACC60217,4260234830941,SYMPHONIES NO. 4-9 (BLURAY),"BRUCKNER, ANTON","BARENBOIM, STAATSKAPELLE BERLIN",ACC
ASCP1121,3760087530216,PIANO WORKS,"LISZT, FRANZ",OLIVIER MOULIN,AME
ASCP1326,3760087530261,SONNETS SEXTINE,"DALBAVIE, MARC-ANDRE",FOUCHECOURT; MYNENKO,AME
EUCD1846,743037184625,ORTHODOX CHANTS FROM RUSSIA,N/A,OPTINA PUSTYN MALE CHOIR,ARC
EUCD1743,743037174329,PACIFIC CHANTS: TRADITIONAL MU,N/A,DAVID FANSHAWE,ARC
EUCD1792,743037179225,MUSIC OF THE PERSIAN MYSTICS,N/A,ZOHREH JOOYA; MADJID DERAKHSHANI,ARC
EUCD2011,743037201124,BEST OF SALSA AFRO-CUBANA (CUB,N/A,OSVALDO CHACON,ARC
EUCD2467,5019396246720,TRADITIONAL SONGS FROM VENEZUE,GUTIERREZ; TORREALBA-PEREZ; PE,DE NORTE A SUR,ARC
232314,885150323144,ANCOR CHE COL PARTIRE,BASSANO; DE CABEZON; SANDRIN;,KÖLN; THELEN,ARS
ACD 129,9421000501297,REMEMBER PARIHAKA,RITCHIE,SCHOLES; AUCKLAND CO,ATO
ACD 501,9421000505011,CHRISTMAS A CAPPELLA,VARIOUS,MUSICA SACRA; INDRA HUGHES,ATO
ACD404,9421000504045,COMPLETE ELECTRO-ACOUSTIC WORK,DOUGLAS LILBURN,DOUGLAS LILBURN,ATO
AUD92524,422143925246,V 2: STRING QUARTETS,"SCHUBERT, FRANZ",MANDELRING QUARTETT,AUD
BBCL41472,684911414721,SYMPHONY NO.7; MEISTERSINGER P,BRUCKNER; WAGNER,SIR REGINALD GOODALL,BBCL
BBCL41732,684911417326,PIANO SONATAS NO. 59 & 33; FOU,HAYDN; BRAHMS; SCHUBERT,RUDOLF FIRKUSNY,BBCL
BBCL42292,684911422924,MUSIC FOR HIS MAJESTY'S SACKBU,LOCKE; SCHUMANN; BRAHMS,ISTVAN KERTESZ,BBCL
BC0011402,782124114022,"BEETHOVEN, LEONORE (GA)","BEETHOVEN,L.",CASSILY/MOSER/DONATH/BLOMSTEDT,BC
BC0185512,782124855123,MENDELSSOHN:SINFONIE NR.3/VIOL,"MENDELSSOHN BARTHOLDY, FELIX",OISTRACH/GOL/KONWITSCHNY,BC
BC0091642,782124916428,BACH:KANTATEN-MAGNIFICAT BWV 2,"BACH, JOHANN SEBASTIAN",ROTZSCH/THOMANERCHOR/POLST,BC
BC0093412,782124934125,SCHUBERT:MESSE G-DUR/STABAT MA,"SCHUBERT, F.",HAJOSSYOVA/BÜCHNER/POLSTER/KEGEL/RSOL,BC
BRI93249,842977032499,VIOLIN CONCERTO; DOUBLE CONCER,"BRAHMS, JOHANNES",BOOREN; VERHEY; STARKER,BRI
BRI94495,5028421944951,CANTATAS,"RIMSKY-KORSAKOV, NIKOLAI",CHORUS OF THE MOSCOW ACADEMY OF CHORAL ART; POPOV; MOSCOW SYMPHONY ORC,BRI
BRI93993,842977039931,"PIANO SONATAS: MOONLIGHT, PATH","BEETHOVEN, LUDWIG VAN",ALFRED BRENDEL,BRI
BRI94679,5028421946795,BEATRICE DI TENDA,"BELLINI, VINCENZO",CHOR UND ORCHESTER DER DEUTSCHEN OPER BERLIN; LUISI,BRI
BRI6901,842977069013,COMPLETE STRING QUARTETS,BARTOK,RUBIN QUARTET,BRI
BRI8463,842977084634,24 PRELUDES,"SHOSTAKOVICH, DMITRI",VARIOUS,BRI
BRI93184,842977031843,DER SCHAUSPIELDIREKTOR,"MOZART, W.A.",EUROPEAN CHAMBER SOLOISTS; MATT,BRI
BRI94499,5028421944999,"CONCERTOS FOR 2 & 3 PIANOS, CO","MOZART, WOLFGANG AMADEUS",KOCSIS; RANKI; SCHIFF; SCHMIDT,BRI
