ACT         ,ACCENT,ACC 24335,4015023243354,BARTHOLD KUIJKEN,JOSEPH HAYDN,CHAMBER MUSIC WITH FLUTE,COMPACT DISC,6,31.19,47.99,2017,"This 6-album set presents the complete recordings with flute music by Joseph Haydn made by Barthold Kuijken on the Accent label. Always playing historically accurate transverse flutes, on these albums (which contain trios and quartets in various combinations), he teams up with his brothers Sigiswald and Wieland, his nephew Piet Kuijken and other fine early music specialists. The recordings were made between 1978 and 2014 and are presented together here for the first time. This is an opportunity not to be missed of listening to the legendary Kuijken family in this delicate late 18th-century repertoire. He studied the modern flute at the Bruges Conservatory and the Royal Conservatories of Brussels and The Hague. For playing early music he originally turned to the recorder. Research on authentic instruments, frequent collaboration with various flute and recorder makers, and assiduous study of sources of the 17th and 18th centuries helped him to specialize in the performance on original instruments. For many years he played in the baroque orchestras Collegium Aureum and La Petite Bande. He plays chamber music concerts all over the world, extending his repertoire to early 19th-century music and has recorded extensively."
ACC         ,ACCENTUS,ACC10380,4260234831429,NELSONS  GEWANDHAUSORCHESTER LEIPZIG,WEBERN  WAGNER  STRAVINSKY,"WEBERN, WAGNER, STRAVINSKY (BR",BLU-RAY DVD,1,31.19,47.99,2017,
ACC         ,ACCENTUS,ACC10403,4260234831443,"Brandao, Eunice; Cremonesi, Attilio; Ehrsam, Cristoph","Veracini, Francesco Maria",Veracini: Sonate a flauto solo e basso,BLU-RAY DVD,1,31.19,47.99,2017,"Midori’s recent interpretation of Johann Sebastian Bach’s Sonatas and Partitas for Solo Violin has earned her many accolades by audiences and the media worldwide. In August 2016, Midori performed these pieces, known as some of the most challenging for any violinist, for an audio-visual recording at the Castle of Köthen (Schloss Köthen) where Bach served as Court Chapel Master between 1717 and 1723. There, in Midori’s precise, light but nevertheless emphatic playing, a unique world of sound unfurls that maybe Bach himself would have imagined while composing these polyphonic masterpieces. Music and space merge exclusively in the acoustic offered by the location, which supports the breathtaking polyphony and the detailed richness of the works as well as the technical brilliance and perfection of Midori’s subtly shaped performance."
ACC         ,ACCENTUS,ACC10415,4260234831511,BLOMSTEDT  GEWANDHAUSORCHESTER LEIPZIG  DRESDNER KAMMERCHOR  LANDSHAMER  KULMAN  LATTKE  PISARONI,"Bach, Johann Sebastian; Mass Text",Bach: Mass in B Minor,BLU-RAY DVD,1,31.19,47.99,2017,"Nothing else that he wrote is as all-encompassing as the Mass in B minor, not even the great Passions,” says Herbert Blomstedt about Johann Sebastian Bach’s “Opus summum”. The Dresdner Kammerchor and the Gewandhausorchester Leipzig under the musical direction of Herbert Blomstedt have merged ingeniously to conclude the Bachfest Leipzig with this unrivaled work – a work that bears close connections to choir and orchestra, as well as to Herbert Blomstedt himself. J. S. Bach Mass in B minor, BWV 232 Gewandhausorchester Leipzig. Performing this monumental work is the ever-capable Dresdner Kammerchor conducted by Herbert Blomstedt. Featured soloists include Christina Landshamer, soprano, Elisabeth Kulman, alto, Wolfram Lattke, tenor, and Luca Pisaroni, bass."
ACC         ,ACCENTUS,ACC10427,4260234831498,FLOREZ  STEPHANY  MEISTER  GURBACA  OPERNHAUS ZURICH,"MASSENET, JULES",WERTHER (BR),BLU-RAY DVD,1,31.19,47.99,2017,"Werther is an opera in four acts by Jules Massenet to a French libretto by Édouard Blau, Paul Milliet and Georges Hartmann (who used the pseudonym Henri Grémont). It is loosely based on the German epistolary novel The Sorrows of Young Werther by Johann Wolfgang von Goethe, which was based both on fact and on Goethe's own early life. In this recording from the Opernhaus Zurich, Juan Diego Florez, Anna Stephany, Cornelius Meister, and Tatjana Gurbaca, along with the orchestra of the Opernhaus Zurich, bring a new and modern flair to this dramatic work."
ACC         ,ACCENTUS,ACC20380,4260234831412,NELSONS  GEWANDHAUSORCHESTER LEIPZIG,WEBERN  WAGNER  STRAVINSKY,"WEBERN, WAGNER, STRAVINSKY",DVD VIDEO,1,19.49,29.99,2017,
ACC         ,ACCENTUS,ACC20403,4260234831436,MIDORI,"Bach, Johann Sebastian",Midori Plays Bach,DVD VIDEO,2,31.19,47.99,2017,"Midori’s recent interpretation of Johann Sebastian Bach’s Sonatas and Partitas for Solo Violin has earned her many accolades by audiences and the media worldwide. In August 2016, Midori performed these pieces, known as some of the most challenging for any violinist, for an audio-visual recording at the Castle of Köthen (Schloss Köthen) where Bach served as Court Chapel Master between 1717 and 1723. There, in Midori’s precise, light but nevertheless emphatic playing, a unique world of sound unfurls that maybe Bach himself would have imagined while composing these polyphonic masterpieces. Music and space merge exclusively in the acoustic offered by the location, which supports the breathtaking polyphony and the detailed richness of the works as well as the technical brilliance and perfection of Midori’s subtly shaped performance."
ACC         ,ACCENTUS,ACC20415,4260234831528,BLOMSTEDT  GEWANDHAUSORCHESTER LEIPZIG  DRESDNER KAMMERCHOR  LANDSHAMER  KULMAN  LATTKE  PISARONI,"Bach, Johann Sebastian; Mass Text",Bach: Mass in B Minor,DVD VIDEO,1,19.49,29.99,2017,"Nothing else that he wrote is as all-encompassing as the Mass in B minor, not even the great Passions,” says Herbert Blomstedt about Johann Sebastian Bach’s “Opus summum”. The Dresdner Kammerchor and the Gewandhausorchester Leipzig under the musical direction of Herbert Blomstedt have merged ingeniously to conclude the Bachfest Leipzig with this unrivaled work – a work that bears close connections to choir and orchestra, as well as to Herbert Blomstedt himself. J. S. Bach Mass in B minor, BWV 232 Gewandhausorchester Leipzig. Performing this monumental work is the ever-capable Dresdner Kammerchor conducted by Herbert Blomstedt. Featured soloists include Christina Landshamer, soprano, Elisabeth Kulman, alto, Wolfram Lattke, tenor, and Luca Pisaroni, bass."
ACC         ,ACCENTUS,ACC20427,4260234831481,FLOREZ  STEPHANY  MEISTER  GURBACA  OPERNHAUS ZURICH,"MASSENET, JULES",WERTHER,DVD VIDEO,1,19.49,29.99,2017,"Werther is an opera in four acts by Jules Massenet to a French libretto by Édouard Blau, Paul Milliet and Georges Hartmann (who used the pseudonym Henri Grémont). It is loosely based on the German epistolary novel The Sorrows of Young Werther by Johann Wolfgang von Goethe, which was based both on fact and on Goethe's own early life. In this recording from the Opernhaus Zurich, Juan Diego Florez, Anna Stephany, Cornelius Meister, and Tatjana Gurbaca, along with the orchestra of the Opernhaus Zurich, bring a new and modern flair to this dramatic work."
ACTB        ,ACTB - BRILLIANT,ACT9847-1,614427984715,BUGGE WESSELTOFT,,EVERYBODY LOVES ANGELS (LP),VINYL,1,0.00,0.00,2017,"There can be very few musicians who are capable of making silence as audibly vivid as the Norwegian Bugge Wesseltoft, in particular in his solo piano recordings. For twenty years, the most successful of these, “It’s Snowing On My Piano,” has been treasured as a haven of wintry stillness and contemplation. It is a classic album. Listeners all over Europe have responded to it by giving it a permanent place in their lives. So now Bugge Wesseltoft and producer Siggi Loch have returned to the original concept of “Snowing” in “Everybody Loves Angels.” The title is a metaphor for the kind of weightless ease which the music conveys; and this time it’s not just for winter. Wesseltoft is vehemently opposed to the over-commercialization of Christmas, and yet he did find himself attracted to the idea of recording music which would restore quietness to times in which everything is getting inexorably louder. So Bugge Wesseltoft and Siggi Loch met up at Oslo’s Rainbow studio. With the pianist’s little daughter Maren perched on his lap, Wesseltoft started to improvise on Christmas songs and folk melodies. It is from this quiet place that this album was born."
ACTB        ,ACTB - BRILLIANT,ACT9856-1,614427985613,DUBOIS  ULLMANN  MORGAN  OSGOOD,"DUBOIS, SCOTT",AUTUMN WIND (LP),VINYL,2,0.00,0.00,2017,"Scott DuBois writes of this, his new album: “My vision for this album came as I drank coffee in a German train station. I was returning to New York after touring with my quartet. My idea: To use three quartets to create a conversation between the world of contemporary classical composition and that of modern jazz composition and improvisation. Autumn would be my theme. Carrying out my plan, I first composed twelve pieces for my quartet and recorded them in Copenhagen. Each piece begins with a different note, generating a twelve-tone row I used in various parts of the compositions. Later, in New York, building on the fluid performances and improvisations in those recordings, I composed, conducted and recorded pieces for classical string and woodwind quartets to be superimposed on the jazz performances. The first piece is for solo guitar. Each subsequent piece adds one instrument, culminating in a finale (for twelve musicians) in which the twelve-tone row structures the entire composition. Among other compositional techniques I employed were aleatoricism, minimalism and serialized rhythms, pitches and dynamics. Always I focused on the beautiful melody and harmony suggested to me by autumn’s permutations. This musical journey begins with the shifting light of early autumn and continues with a tranquil stroll at dusk… The journey ends in quiet reflection.”"
