L2L         ,2L,2L-140-SABD,7.04189E+12,KARLSEN  ENSEMBLE 96  LJONES,DANIEL-LESUR  DYRUD  HAVORY,SO IS MY LOVE,BLU-RAY AUDIO + SACD,2,27.29,41.99,2017,"""So is my love"" is about love and the beloved, and this includes the sense of love awakened in us by religious faith and by nature. In works by Dyrud, Odegaard, Havrøy, Daniel-Lesur and Stockhausen the countless facets of love are painted in music and words: we encounter passion, lust, prayer and longing, but we also find humour, playfulness and joy. The two previous albums produced by 2L with Ensemble 96 were honored by The Recording academy with nominations to the GRAMMY Award in both technical craft and performance categories. The chamber choir Ensemble 96, which consists of 24 highly qualified singers, is one of Norway’s leading vocal ensembles, and has gained its reputation through many critically acclaimed concerts, premieres, and recordings. It has a particular focus on contemporary music and seeks to expand the traditional choir concert by means of collaborations with other artists, including dancers, actors, and visual artists. The ensemble often presents a mix of contemporary music and classical songs. The musical director and conductor is Nina Therese Karlsen, who holds an MA in Choir Conducting from the Norwegian Academy of Music."
ACT         ,ACCENT,ACC 24324,4.01502E+12,"Dongois, William; Le Concert Brisé","Dongois, William; Fischalek, Moni; Jourdan, Hadrien; Julien-Laferrière, Alice; Legee, Stefan; Madeuf, Jean-François; Schmelzer, Johann Heinrich",Schmelzer: Sonatas,COMPACT DISC,1,14.81,22.99,2017,"The cornetto player William Dongois and his ensemble, Le Concert Brise, already have an extensive and successful discography on Accent (with their Bertali, Scheidemann or Buxtehude recordings in the mind of plenty of early music lovers). The music contained in this album, a selection of Sonatas by the Austrian early Baroque composer Johann Heinrich Schmelzer, bears many influences: from the noble sacred to the almost popular, with lots of references to the educated secular and the opera. Through the inclusion of passages in the form of toccatas, chaconnes and passacaglias, we are even introduced to the world of improvisation at court. Le Concert Brise performs here on period instruments, including the violin, organ, natural trumpet, sackbut, and dulcian."
ACT         ,ACCENT,ACC 24327,4.01502E+12,"Madeuf, Jean-François; Dolci, Daniela; Musica Fiorita","Molter, Johann Melchior",J.M. Molter: Concertos for Trumpets & Horns,COMPACT DISC,1,14.81,22.99,2017,"Johann Melchior Molter is a composer well-known among enthusiasts of music for winds, but generally his output is performed on modern instruments. Extensive research in the field of historically informed performance practice theoretically allows for the faithful reconstruction of the original sound of this music, but there exist only very few trumpetists today who are able to play on the required natural, valveless instruments. Jean-Francois Madeuf is one of these, extracting a warm, noble sound that makes these concertos a very pleasurable listening experience. Active for many years in numerous Baroque ensembles in France, Europe or on other continents, both in concerts and recordings, Jean-Francois Madeuf is at the moment still one of the rare musicians who plays natural trumpet and horn in the most historically informed way, without the aid of vent holes invented for compromise instruments. In 2009 Madeuf received the Christopher Monk Award by the Histoic Brass Society “for his significant contribution as a performer and teacher and his dedication to historically informed performance practice” and is now conducting research leading to a doctorate at the Koninklijk Conservatorium Brussel and Vrije Universiteit Brussel on the subject of natural trumpet playing."
ACT         ,ACCENT,ACC 25319,4.01502E+12,LA PETITE BANDE  KUIJKEN,"BACH, J.S.",CANTATAS COMEPLETE LITURGICAL,COMPACT DISC,19,46.79,71.99,2017,"In the beginning there was great skepticism towards the thesis Of Joshua Rifkin that Bach’s sacred vocal works were originally written for solo voices. Now this interpretation is establishing itself more and more. With this edition Sigiswald Kuijken and his ensemble La Petite Bande want to strengthen this new approach and prove it right by their excellent performances. The project of recording one cantata composed for each Sunday and high feast of the liturgical year has been spread over several concert seasons, during each of which three to four cantatas were given concert performances and were recorded. As far as possible this was made during the releant time of the year for which the cantatas were written. ""Among current cantata series Sigiswald Kuijken‘s has a distinctive place, his one-to-a-part voices and few instruments achieving striking delicacy. His vocal soloists sing with disarming simplicity and ease in arias, and blend superbly in ensemble. A rare treat, Kuijken – and Bach – at their very best.” (BBC Music Magazine, March 2010, review vol. 9)"
ACC         ,ACCENTUS,ACC20408,4.26023E+12,SAMANN  JANTSCHEK  SCHACHTNER  KRISTJANSSON  SCHWEINESTER  STRAZANAC  HARVEY  GAECHINGEDR CANTOREY  RADEMANN  ENSEMBLE V,"Bach, Johann Sebastian; Henrici, Christian Friedrich",Bach: St. Matthew Passion,DVD VIDEO,2,31.19,47.99,2017,"In its choreographed version of the St. Matthew Passion, the Internationale Bachakademie Stuttgart offers new dimensions to Bach‘s musical drama. And, for the one hundred schoolchildren who delved into Bach‘s monumental work and learned to dance as an artistic form of self-expression, it was an opportunity to experience the power of his music first hand. The interplay of professional musicians and young amateurs turned into a creative bridge for all involved. By deciding to have its own baroque orchestra and a choir formed of singers with practical, performing criteria in mind, the Bachakademie is forging a new path. The basic kind of sound, and at the same time the unique international selling point of this new approach underlies the Bachakademie’s decision to commission a historical replica of a chamber organ by the legendary organ builder and contemporary of Bach, Gottfried Silbermann. An original instrument by him has recently been discovered in Seerhausen, Saxony. As an example of the baroque sound, true to the original, this replica embodies the approach at the very heart of a Bachakademie of the future. The newly-founded baroque orchestra and the newly-constituted choir of the Bachakademie will perform under the joint name GAECHINGER CANTOREY from now onwards. Based on the historic foundations of the Bach era, and with roots in the living performance history of the choir founded by Helmuth Rilling, this name represents an integrated musical approach and the aesthetic sound ideal of the baroque."
ACC         ,ACCENTUS,PHR 0108,7.64017E+12,"Damerau, Okka von der; Luisi, Fabio; Philharmonia Zurich","Martin, Frank; Rilke, Rainer Maria",Martin: Die Weise von Liebe und Tod des Cornets Christoph Rilke,COMPACT DISC,1,14.81,22.99,2017,"""It seems as if this text became a part of my life"", wrote Swiss composer Frank Martin about Rainer Maria Rilke’s famous prose poem ""The Lay of the Love and Death of Cornet Christoph Rilke"", on which he based his composition for alto singer and orchestra. Rilke’s short text describes the fate of a young soldier in a powerful way, who pointlessly rode o into his death during the Ottoman wars in the 17th century. Frank Martin devoted himself to this poem during Second World War and created a highly expressive and thrilling setting. Philharmonia Records releases a live recording of Frank Martin’s Cornet at the Zurich Opera House with the Philharmonia Zurich under the direction of Fabio Luisi. The solo part is sung by German alto singer Okka von der Damerau, who is particularly known for her interpretations of major Wagner and Verdi roles as well as her vast concert repertoire."
ACC         ,ACCENTUS,PHR 0109,7.64017E+12,"Luisi, Fabio; Philharmonia Zurich","Verdi, Giuseppe",Verdi: Overtures and Preludes,COMPACT DISC,2,23.39,35.99,2017,"Giuseppe Verdi composed over 30 operas, though only about half of them are still regularly staged. For the latest studio recording with the Philharmonia Zurich, Fabio Luisi has chosen overtures and preludes from Verdi’s whole creative period. Next to popular masterpieces like the overture to ""La forza del destino"", the selection ranges from the earliest works by Verdi, which strongly remind of Rossini and Donizetti, over exceptional preludes he wrote for ""Macbeth"" or ""La traviata"" for example, to rarely performed overtures such as ""I vespri siciliani"" or ""La battaglia di Legnano"". A special highlight on this recording is the long version of the overture to ""Aida"", which is never heard in combination with opera. Furthermore, the ballet music for the French version of ""Don Carlos"" also found its way onto the album. Thus, the compilation unites pieces that belong to the day-to-day repertoire of the Philharmonia Zurich with those that are also rarities to orchestra musicians."
ACQ         ,ACQUA RECORDS,AQ474,7.79801E+12,"String Orchestra of Polo Bandoneón; Mederos, Rodolfo; Colangelo, Jose; Symphonic Orchestra of Polo Bandoneon; Pugliano, Juan Alberto; Algeri, Carla","Caceres, Oldimar Pocho; Gardel, Carlos; Lattes, Marcel; Linetzky, Andrés; Piazzolla, Ástor; Troilo, Aníbal",Memorias de un bandoneón,COMPACT DISC,2,23.39,35.99,2017,"Carla Algeri is a bandoneonist and director of Polo Bandoneon, an organization which was created in the city of Buenos Aires for the teaching and promotion of the instrument. This organization helped lead to UNESCO declaring the music of Tango a World Patrimony of Mankind in 2009. In her new album, presented here, she performs alongside the Symphonic Orchestra and the Strings Orchestra of the Polo. The first part of the album, titled ‘Responso,’ is a tribute to Anibal Troilo, a legendary bandoneonist and director, with a selection of classics of the unforgettable Gordo. At the piano is Jose Pepe Colangelo and among the maestros of the Symphonic Orchestra, the first concert violin in the hands of Rafael Gintoli. The second portion of the album, ‘Cuando tu no estas,’ is a tribute to Carlos Gardel, also with his repertoire of classics. Among the guests are the maestros Rodolfo Mederos on bandoneon and Juan Alberto Pugliano on piano."
ACQ         ,ACQUA RECORDS,AQ507,7.79801E+12,"Weintraub, Javier","Ysaÿe, Eugène","Ysaÿe: Violin Sonatas, Op. 27 Nos. 1-6",COMPACT DISC,1,14.81,22.99,2017,"Eugene Ysaye was a Belgian violinist, composer and conductor who was regarded as “The King of the Violin.” His Six Sonatas for solo violin, presented here by master violinist Javier Weintraub, were composed in 1923. A work close to the composer’s heart, each sonata was dedicated to one of Ysaye’s contemporary violinists: No 1 to Joseph Szigeti, No. 2 to Jacques Thibaud, No. 3 to George Enescu, No. 4 to Fritz Kreisler, No. 5 to Mathieu Crickboom, and No. 6 to Manuel Quiroga. He was inspired to write the cycle after hearing Joseph Szigeti perform Bach’s sonata for solo violin in G minor. Ysaye set out to compose solo violin works that represented the evolution of techniques and expression of his time. He wrote: “I have played everything from Bach to Debussy, for real art should be international,” and “at the present day the tools of violin mastery, of expression, technique, mechanism, are for more necessary than in days gone by. In fact they are indispensable, if the spirit is to express itself without restraint.”"
ACTB        ,ACTB - BRILLIANT,ACT9039-1,6.14428E+11,NILS LANDGREN FUNK UNIT  PARKER JR.  BRECKER  HAGANS,VARIOUS,UNBREAKABLE (LP),VINYL,1,20.27,31.99,2017,"Unbreakable opens with the title song, Nils Landgren’s own composition. It begins with an unmistakeable guitar intro by Detroit funk legend Ray Parker Jr., a funky riff that sets the pace for what’s to follow: a nonstop blowout. The Funk Unit rhythm section is tighter than ever before and lays down a groove like no other band. The horn arrangements (by band member Jonas Wall) are exquisitely precise and the process of arranging, mixing and performing they have developed over the years is unique and totally their own. If you add to that an outstanding trombone player/ lead vocalist you have one of the most dynamic groups of musicians ever to hit the stage in Europe. Some funk, some jazz and some straight-out party music, and when the likes of Ray Parker Jr., Randy Brecker and Tim Hagans are willing to come along for the ride, it’s bound to keep the recipe going and some good music playing. The title is important to Nils and marks something of a turning point in the history of his band: Throughout all out years together there have been countless moments of great joy and laughter, but also times when we had to fight to stay on the right track. Remembering the highs always helped us to face the lows and to get back up on our feet. The love for the music and for each other has always won and always will. We are unbreakable.”"
ACTB        ,ACTB - BRILLIANT,ACT9039-2,6.14428E+11,"Hagans, Tim; Parker Jr., Ray; Brecker, Randy; Nils Landgren Funk Unit","Bergander, Petter; Capuano, Lisa; Christopher, Gretchen; Gaye, Marvin; Hancock, Herbie; Ikiz, Robert; Landgren, Nils; Parker Jr., Ray; Pfeiler, Andy; Price, Magnum Coltrane; Toussaint, Allen; Wall, Jonas",Unbreakable,COMPACT DISC,1,14.81,22.99,2017,"Unbreakable opens with the title song, Nils Landgren’s own composition. It begins with an unmistakeable guitar intro by Detroit funk legend Ray Parker Jr., a funky riff that sets the pace for what’s to follow: a nonstop blowout. The Funk Unit rhythm section is tighter than ever before and lays down a groove like no other band. The horn arrangements (by band member Jonas Wall) are exquisitely precise and the process of arranging, mixing and performing they have developed over the years is unique and totally their own. If you add to that an outstanding trombone player/ lead vocalist you have one of the most dynamic groups of musicians ever to hit the stage in Europe. Some funk, some jazz and some straight-out party music, and when the likes of Ray Parker Jr., Randy Brecker and Tim Hagans are willing to come along for the ride, it’s bound to keep the recipe going and some good music playing. The title is important to Nils and marks something of a turning point in the history of his band: Throughout all out years together there have been countless moments of great joy and laughter, but also times when we had to fight to stay on the right track. Remembering the highs always helped us to face the lows and to get back up on our feet. The love for the music and for each other has always won and always will. We are unbreakable.”"
