2019,ACT,Accent,ACC 24353,4015023243538,George Frideric Handel ,Handel: The Recorder Sonatas,Stefan Temmingh; Wiebke Weidanz; Carolyn Sampson; Andre Morsch; Cappella Amsterdam; Orchestra of the 18th Century; Daniel Reuss,1,CD,14.81,22.99,"The Six Recorder Sonatas by George Frideric Handel are a compendium of the recorder's original literature, and have an exceptional position because of their beauty. They're typically Handelian in character, in that the upper voice is very vocal, like his operas. The melodies are truly captivating and remarkable for their "simplicity" which demands far more virtuosity than simply moving the fingers quickly. The goal of Stefan Temmingh, one of Germanys most renowned recorder players of the younger generation, is to come as close as possible to the greatest of all instruments - the human voice. The bass line makes an equal counterpart to the recorder part; it's opulent, virtuosic and full of variety - much more than in comparable pieces. It's executed without cello only by harpsichord, performed in an outstanding way by Wiebke Weidanz.",,https://b2b.naxosusa.com/Album.aspx?product=ACC%2024353dig,01 Classical,Classical,,Austria,2019 note 1 music ,2019 note 1 music ,,,,,,,,,,,,,,,,,,,,
2019,ACT,Accent,ACC 26410,4015023264106,George Frideric Handel ,Handel: Judas Maccabaus,Festspielorchester Gottingen; NDR Chor,2,CD,23.39,35.99,"Judas Maccabäus is one of Handel's most impressive and successful works. More than 50 performances took place in Handel's lifetime. The integration of the libretto with the conflict between the Scottish Jacobites under the leadership of the catholic Stuart pretender, Charles Edward, and the royalist government troops played a crucial role in this. The original libretto tells the story of the struggle of the Jews against the rule of the Seleucids. Handel portrays the plot with colorful arias, touching laments, and exultant triumph choruses. The present live recording is a production of the 2018 International Handel Festival in Göttingen, highly praised by the critics and the audience. With Laurence Cummings, the Festival's Artistic Director, a renowned Händel specialist stands at the helm of the Göttingen Festival Orchestra, assisted by an excellent vocal cast and the NDR Choir.",,https://b2b.naxosusa.com/Album.aspx?product=ACC%2026410,01 Classical,Classical,,Netherlands,2019 note 1 music ,2019 note 1 music ,,,,,,,,,,,,,,,,,,,,
2019,AEL,Aeolus,AE10097,4026798100971,Camille Saint-Saens ,"Saint-Saens: Symphony No. 3 ""Organ""; Tarantella, Op. 6; Romance, Op. 37",Capriccio Baroque Orchestra; Anne Freitag; Francesco Negrini; Ulrich Meldau,1,Hybrid SACD,15.59,23.99,"The Swiss composer Guy Bovet has created a chamber version of Camille Saint-Saëns' popular 'Organ Symphony', which increases the significance of the organ part to a true 'Symphony concertante' for organ and orchestra. The result is convincing and the Capriccio Baroque Orchestra presents the work for the first time on historical instruments from the time it was composed. Of writing this piece, Saint-Saëns wrote: "I gave everything to it I was able to give. What I have here accomplished, I will never achieve again." It seems he wrote the work as a sort of history of his own career- it features virtuosic piano passages, Romantic orchestral writing, and, of course, the sound of the cathedral-sized pipe organ.",,https://b2b.naxosusa.com/Album.aspx?product=AE10097,01 Classical,Classical,,Germany,2018 Aeolus,2018 Aeolus,,,,,,,,,,,,,,,,,,,,
2019,AEL,Aeolus,AE10154,4026798101541,Johann Sebastian Bach ,Bach: Die Kunst der Fuge (The Art of Fugue),Bob van Asperen,1,Hybrid SACD,15.59,23.99,"On the extremely rarely heard, sonorous Christian Zell harpsichord from 1741, Bob van Asperen makes it clear that Bach's art of the fugue is to be met with the same joy of playing the harpsichord as other Bach keyboard works. For the duets, Asperen's former pupil Bernhard Klapprott, today also a sought-after keyboard virtuoso, joins in. The Dutch harpsichordist, organist, conductor, clavichordist and early music-specialist, Bob van Asperen, completed a conventional university course of study in music before embarking on lessons with harpsichord master Gustav Leonhardt starting in 1967. He made his debut in Haarlem in 1968. Also in 1968 he joined the group Quadro Hotteterre, of which he was a member until 1984. He completed his studies in 1972 "with distinction" after finishing a course in organ at the Amsterdam Conservatory given by Albert de Klerk. Currently he teaches at the Sweelinck Conservatory in Amsterdam.",,https://b2b.naxosusa.com/Album.aspx?product=AE10154,01 Classical,Classical,,Germany,2018 Aeolus,2018 Aeolus,,,,,,,,,,,,,,,,,,,,
2019,AEL,Aeolus,AE11171,4026798111717,Antonio de Cabezon ,"Cabezon: Tientos, Diferencias y Glosadas",Leon Berben,1,Hybrid SACD,15.59,23.99,"After his SACD with works by Joan Cabanilles, which was awarded the "Preis der deutschen Schallplattenkritik", Léon Berben dedicates the new AEOLUS production to one of the most important representatives of Altiber organ music: Antonio de Cabezón. The Ostönnen Gothic organ used for the recording is considered to be the oldest in all of Germany. Dendrochronological investigations revealed that the wood from which some of the instrument parts were made must have been felled around 1415. Despite some alterations in the 17th and 18th centuries, the organ was largely preserved in its original condition. The Dutch harpsichordist and organist, Léon Berben, studied harpsichord and organ in Den Haag (Koninklijk Conservatorium) and Amsterdam (Sweelinck Conservatorium) with Rienk Jiskoot, Bob van Asperen, Ton Koopman and Gustav Leonhardt, and finished his studies with solo-diploma for both instruments. Besides playing the harpsichord and organ, Léon Berben engages in debates on historical performance practice by writing articles and also signs as a co-author for MGG (Musik in Geschichte und Gegenwart). He has now been living since several years in Cologne, Germany.",,https://b2b.naxosusa.com/Album.aspx?product=AE11171,01 Classical,Classical,,Germany,2018 Aeolus,2018 Aeolus,,,,,,,,,,,,,,,,,,,,
2019,AEV,Aevea Classics,AE18080,0634065037703,Modest Mussorgsky ,Mussorgsky: Pictures at an Exhibition & Other Piano Works,Francois Dumont,1,CD,14.81,22.99,"When the Russian designer and architect Viktor Hartmann died unexpectedly of an aneurysm in 1873, Mussorgsky fell into a state of profound depression. The two artists had grown close. A memorial exhibition was quickly planned, and over four hundred of Hartmann's works were displayed. Some of the paintings and sketches exhibited were the source of inspiration for Mussorgsky as he set out to compose "Pictures at an Exhibition," a suite of brief movements penned in June 1874 - three months after the exposition took place. Seemingly depicting the viewer wandering through the gallery, moving from one painting to the next, the piece has become one of the giants of the piano repertoire, and has been orchestrated by a number of composers, including the splendid version by Maurice Ravel. "Pictures at an Exhibition" is one of François Dumont's warhorses. In the present album, alongside the celebrated suite, the French pianist offers a selection of rarely heard piano works by Mussorgsky. They hail from two very different periods - his early years, and the very last year of the composer's life. They offer a glimpse into Mussorgsky's pianistic skills, and are heavily influenced by Russian folklore and traditions. François Dumont's career was launched by his success in major international piano competitions, including one of the top prizes in the 2010 Chopin Competition in Warsaw. He has performed in some of the major concert halls around the world.",,https://b2b.naxosusa.com/Album.aspx?product=AE18080dig,01 Classical,Classical,Electronic|Ambient,Italy,OnClassical,AEVEA,,,,,,,,,,,,,,,,,,,,
2019,ABR,Alba,ABCD 428,6417513104288,Lauri Hannu; Carla Bley; Frank Zappa; Sam Cooke; Ville Rauhala; Matti-Juhani Orpana,Jazzmuseo: Elavana Pyynikinlinnassa,Lauri Hannu; Masa Orpana; Arto Piispanen; Ville Rauhala ,1,CD,14.81,22.99,"Jazzmuseu (The Jazz Museum) is a jazz band founded in Tampere in 2012. The band includes saxophonist Masa Orpana, guitarist Lauri Hannu, pianist Arto Piispanen, and bassist Ville Rauhala. The band first appeared by the players' names, but later became known as Jassmuseo. Concerts are themed, such as the "spirits and jazz encounters" concert which produced a 2014 live recording album "Live in Kangasala." The record was recorded in 2013 at Kangasala over two concerts. This album is the second release from the band. It was recorded live in Pyynikinlinja, and includes mostly compositions from the band's own members.",,https://b2b.naxosusa.com/Album.aspx?product=ABCD%20428,02 Jazz,Jazz,,Finland,2018 Alba Records,2018 Alba Records,,,,,,,,,,,,,,,,,,,,
2019,ALI,Aliud,ACDBD1062,8717775551225,Jan van der Roost ,Van der Roost: I Colori della Gioia - Vocal Music,Flemish Radio Choir; Brussels Philharmonic,1,CD,13.25,20.99,"Jan Van der Roost is a very well-known Flemish composer. He is known most for his wind band music, and for teaching all over the world, particularly in Belgium and Japan. Although he is most known for his instrumental music, he has always loved vocal music as well. This album displays a nice variety of music for voices and contains no less than six world premiere recordings. The Flamisch Radio Choir, Brussels Philharmonic, and the other ensembles that are featured on this album are famous across the globe for their musical flexibility and quality.",,https://b2b.naxosusa.com/Album.aspx?product=ACDBD1062,01 Classical,Classical,,Netherlands,2018 Aliud Records,2018 Aliud Records,,,,,,,,,,,,,,,,,,,,
2019,ALP,Alpha,ALPHA439,3760014194399,Various ,Eva Zaicik: Venez chere ombre,Eva Zaicik; Le Consort; Justin Taylor,1,CD,14.81,22.99,"Mezzo-soprano Eva Zaicik, who has signed up with Alpha for several recordings, is one of the most prominent vocal artists of her generation. She was chosen as 'Revelation lyrique' at the Victoires de la Musique Classique 2018, and elected the same year a Laureate of the prestigious Queen Elizabeth of Belgium Competition. She has participated in the "Jardin dex Voix" of les Arts Florissants under William Christie, and regularly collaborates with Le Poeme Harmonique and Vincent Dumestre- but her constant accompanist is the harpsichordist Justin Taylor. Together with two other musicians- violinists Theotime Langlois de Swarte and Sophie de Bardonneche, they have founded Le Consort, to explore both sacred and secular works by composers such as Charpentier, Campra and Clerambault. For this recording they are joined by the flautist Anna Besson and gamba player Lucile Boulanger, both well-known to the Alpha label, as well as Louise Pierrard and Thibault Roussel. This recording is devoted to the Cantatas of Lefebvre, Monteclair, Clerambault and Courbois, more than half of which have never previously been recorded.",,https://b2b.naxosusa.com/Album.aspx?product=ALPHA439,01 Classical,Classical,,Austria,2018 Alpha Classics / Outhere Music France,2018 Alpha Classics / Outhere Music France,,,,,,,,,,,,,,,,,,,,
2019,ALP,Alpha,ALPHA440,3760014194405,Jean Sibelius ,Sibelius: Symphony No. 1; En Saga,Gothenburg Symphony Orchestra,1,CD,14.81,22.99,"Alpha begins a complete cycle of the symphonies by Sibelius with the Gothenburg Symphony Orchestra and its new musical director, Finnish conductor Santtu-Matias Rouvali. Originally a percussionist, the 33-year-old trained at the famous Sibelius Academy. His career took off after he stepped in at the last minute to conduct the Finnish Radio Symphony Orchestra. In the great tradition of Finnish conductors Santtu-Matias Rouvali is known for his extremely physical and organic interpretations: "Music unmistakeably flows from him," commented The Sunday Times. When Bachtrack asked him how he shapes the orchestral sound, he replied: "I sing it, I move my hands the way I want it... the conductor should be able to show tempo somewhere in the body... I was also a drum kit player, so my feet and hands can do different things at the same time. When you read the score, you sing it in your head... I think it's the sense of inside groove that you get from playing percussion which is very important in Sibelius's music." In the Gothenburg Symphony Orchestra he finds a prestigious cohort of musicians with an impressive discography, and joins a line of their illustrious musical directors, notably Neeme Jarvi, the orchestra's principal conductor from 1982 to 2004, but also Gustavo Dudamel- who made his first major recordings with the GSO- Christoph Eschenbach, Kent Nagano, and others.",,https://b2b.naxosusa.com/Album.aspx?product=ALPHA440,01 Classical,Classical,,Austria,2018 Göteborgs Symfoniker & Alpha Classics / Outhere Music France,2018 Alpha Classics / Outhere Music France,,,,,,,,,,,,,,,,,,,,
2019,ANTAR,Antarctica,AR 010,0608917731026,Various ,Zefiro Torna: Balsam,Zefiro Torna,1,CD,13.25,20.99,"This recording is a synesthetic homage to music which explores the passion, lust, love, hallucination, and healing induced by herbs and flowers. It is a sensuous quest for the melting point at which very different repertoires and literatures dissolve into an unctuous and euphonious balsam for the mind and the soul. In its own inimitable interdisciplinarity, the Belgian ensemble Zefiro Torna takes us from Norway to Greece, from Virgil to Emile Verhaeren, and from Hildegard von Bingen and Guillaume du Fay to music newly composed in honor of the power of plants. A truly intoxicating experience. Vocal-instrumental ensemble Zefiro Torna is reframing early music in an extraordinary way. The ensemble is a hybrid collective of musicians who are able to seamlessly shift between ancient, traditional, and jazz music.",,https://b2b.naxosusa.com/Album.aspx?product=AR%20010,01 Classical,Classical,,Netherlands,2018 AR 010,2018 AR 010,,,,,,,,,,,,,,,,,,,,
2019,ANTAR,Antarctica,AR 011,0608917731125,Wim Henderickx ,Nostalgia - Works for String Orchestra by Wim Hendrickx,Boho Strings,1,CD,13.25,20.99,"On its first recording the Belgian ensemble Boho Strings showcases the versatility of composer Wim Henderickx, whose repertoire ranges from experiments in modernism to nearly silent transcendent soundscapes. Inasmuch as the works featured on this album are revisions of earlier work- some specifically prepared for this recording- they capture the progress in a career which spans three decades. The most audible development is Henderickx's heightened sensitivity to inspiration from the East, which lends exoticism and the occasional melancholy to a diverse but reassuringly recognizable oeuvre. Acclaimed soloists are featured on these tracks, including Roeland Hendrikx, Valerie Debaele and Lin Chin Cheng.",,https://b2b.naxosusa.com/Album.aspx?product=AR%20011,01 Classical,Classical,,Netherlands,2018 AR 011,2018 AR 011,,,,,,,,,,,,,,,,,,,,
