ZEN246,ABRA,Rose (reissue on 180g double LP with 2 posters),Ninja Tune,Electronic,,5054429120585,LPx2,24.00,2017
BJ-33,B.BRAVO,"Paradise Remixes (Sammy Bananas, XL Middleton, Simbad, Grandfeather)",Bastard Jazz,Electronic / Jazz,,708630007436,"12""",8.94,2017
58458-0059-6,"BARTELL, JAYE","In A Time Of Trouble, A Wild Exultation",SD / Sinderlyn,Rock-Pop,,858458005968,CD,10.00,2017
LYN033,"BARTELL, JAYE","In A Time Of Trouble, A Wild Exultation",SD / Sinderlyn,Rock-Pop,,858458005951,LP,12.00,2017
34457-7893-2,BLIS.,No One Loves You,Redeye / Sargent House,Rock-Pop,,6.34458E+11,CD,11.96,2017
SH189,BLIS.,No One Loves You,Redeye / Sargent House,Rock-Pop,,634457786318,LP,18.91,2017
61297-5547-7,BLUE HAWAII,Tenderness,SD / Arbutus,Electronic,Canadian,061297554775,CD,10.00,2017
ABT061,BLUE HAWAII,Tenderness,SD / Arbutus,Electronic,Canadian,844667038361,LP,12.00,2017
ABT061LP-C1,BLUE HAWAII,Tenderness (very limited),SD / Arbutus,Electronic,Canadian INDIE ONLY,844667038224,LP,12.00,2017
23339-2047-2,BOOGAT,San Cristobal Inn,Maisonette Musique,Hip-Hop,,623339204729,CD,10.30,2017
90125-1691-0,BOTTIN,I Have What I Gave,SD / 2MR,Electronic,,090125169102,CD,10.00,2017
2MR026,BOTTIN,I Have What I Gave,SD / 2MR,Electronic,,090125168914,LP,12.00,2017
34457-7945-2,BROOKLYN BOOGALOO BLOWOUT,The Boog At Sunny's,Redeye / StorySound Records,Soul / Funk / R & B,,634457794528,CD,9.94,2017
54697-4439-6,BROOKLYN BOOGALOO BLOWOUT,Terry Riley In C,Redeye / Northern Spy,World,,754697443960,CD,12.96,2017
98787-1211-2,BULLY,Losing,Sub Pop,Rock-Pop,,098787121124,CD,13.75,2017
SP1211,BULLY,Losing,Sub Pop,Rock-Pop,,098787121117,LP,19.65,2017
SP1211LOSER,BULLY,Losing [LOSER EDITION],Sub Pop,Rock-Pop,,098787121155,LP,19.65,2017
SP1211CS,BULLY,Losing,Sub Pop,Rock-Pop,,098787121148,CS,8.68,2017
17949-0129-3,"CALDER, ALEX",Alex Calder,SD / Captured Tracks,Rock-Pop,,817949012939,CD,10.00,2017
