Label,Label Description,Item Number,Primary Barcode,Artist,Composer,Composer / Title,Format,# Discs,CA List Price,CA Suggested Retail Price,Release Date,Blurb
L2L         ,2L,2L-137-SABD,7.04189E+12,MONSEN  FLAGSTAD,LUTOSLAWSKI  STRAVINSKY  VALEN,INTERACTIONS,BLU-RAY AUDIO + SACD,2,$27.29 ,$41.99 ,2017-Jul-07,"In these twentieth-century sonatas, from the late Romantic and expressionistic Valen, through Stravinsky’s neoclassical period, to Lutoslawski’s more modernistic style, the three composers are searching for inspiration in the past- Valen in the rigours of Bach’s counterpoint, Stravinsky in antique verse forms such as we find in Virgil, and Lutoslawski in Baroque music. These interactions with artistic models from earlier times result in three highly individual compositions, each appealing both to the heart and to the mind. The tentative beginnings of the duo partnership of Bard Monsen and Gunnar Flagstad took place in the autumn of 1999, when they met at the Barratt Due Institute of Music in Oslo- Gunnar as the newly-appointed accompanist for string players at the institute, and Bard studying the violin with Alf Richard Kraggerud and Stephan Barratt-Due. Bard later moved to the US to study with the legendary violin pedagogue Mauricio Fuks, but he continued to meet up with Gunnar at different musical events. It was a particularly successful concert at a festival in 2014, where they played Lutoslawski’s Partita, that served as the catalyst for a more regular musical partnership. This led to a thorough perusal of the 20th century duet repertoire, and the present recording in which three iconic works from a profoundly fascinating period in music history interact with each other is the fruition of this perusal."
L2L         ,2L,2L-138-SABD,7.04189E+12,HEMSING  ASPAAS,GRIEG  NIELSEN  SIBELIUS,NORTHERN TIMBRE,BLU-RAY AUDIO + SACD,2,$27.29 ,$41.99 ,2017-Jul-07,"Edvard Grieg (1843-1907), Carl Nielsen (1865-1931) and Jean Sibelius (1865-1957) are generally recognized as the Nordic countries’ most important composers. Nielsen and Sibelius were both inspired and influenced in their early years by Grieg’s music. Their idiom was strongly Romantic, but they managed to create a distinct “Nordic Sound” in which national elements combined with the broader European tradition. This album not only shows this, but also probes the way they were inspired by one another. Moreover, the works on this release are among the artists’ personal favorites, with a Northern Timbre they feel resonates, no matter where you are. Ragnhild Hemsing and Tor Espen Aspaas began playing as regular recital partners in 2010 in preparation for the recording of Ragnhild’s debut album, which featured works by Norwegian composers in addition to traditional folk music played on a Hardanger fiddle. This musical partnership has subsequently been consolidated with numerous concerts, tours, recordings and broadcasts both in and outside of Norway. The two musicians have also guested each other’s chamber music festivals-respectively the Hemsing Festival in Aurdal/Valdres and the Winter Chamber Music Festival in Roros- and collaborated on new projects as part of the festival programmes."
ACT         ,ACCENT,ACC 24326,4.01502E+12,"Maass, Stefan; Schöder, Maria Friederike; Batzdorfer Hofkapelle; Rath, Stephan","Anonymous; Brockes, Barthold Heinrich; Handel, George Frideric",Handel: 9 Deutsche Arien,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-07,"George Frederic Handel wrote little for his native tongue, but what he did demonstrates a particular level of contemplative pietism while still employing the familiar techniques of Italian opera. Praise of the beauty of nature and eternal life are the subjects of the sacred poems by his contemporary Barthold Heinrich Brockes which Handel set to music in his ""Nine German Arias"". Each of the arias celebrates an aspect of nature – from the beauty of a flaming rose to the sweetness of silence – with extraordinary tenderness and sincerity. In these nine pieces for soprano and a small group of instruments, to be chosen at will, Handel drew in many places on music from his own operas, with the voice part in the German arias adapted to be less virtuosic and more deeply expressive. The musical relationships with Handel’s opera arias are evident in the endless ingenuity of his characterization and the expressive, articulate melodies with which the soprano and the violin obbligato create their vivid images. The young German soprano Marie Friederike Schöder is accompanied in her beautiful interpretation of the arias by the specialist ensemble Batzdorfer Hofkapelle."
ACT         ,ACCENT,ACC 24329,4.01502E+12,"Kuijken, Wieland; Kuijken, Sigiswald; Dael, Lucy van; Kuijken, Barthold","Mozart, Wolfgang Amadeus",Mozart: Flute Quartets,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-07,"Mozart’s four flute quartets date from the 1770s and 1780s. Those in D (K285) and G (K285a) are probably products of a Mannheim commission, while the C major (K285b) and A major (K298) Quartets belong to the early to mid-1780s when Mozart was in Vienna. Mozart’s flute quartets are central to the classical flute repertoire. The fact that Mozart held the instrument in rather low regard did not stop him from writing some of his loveliest music for it. The composer’s characteristic charm, wit, beauty, and elegance are in evidence throughout. The flute imposed itself undeniably as solo instrument in these scores imbued with concertante writing and the gallant style characteristic of the taste of the Mannheim court at that time. The present recording with Barthold Kuijken dated from the early 1980s and is regarded as one the most beautiful interpretations of these works."
ACT         ,ACCENT,ACC 24331,4.01502E+12,"La Petite Bande; Kuijken, Sigiswald","Bach, Johann Sebastian; Bible; Franck, Johann; Gerhardt, Paul; Gramann, Johann; Thymich, Paul",Bach: The Motets,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-07,"The debate surrounding Bach’s vocal scoring has mostly focused on the cantatas and Passions. The evidence for Joshua Rifkin’s hypothesis of single voices is found among the sources of these works. Bach’s motets have featured rather less in the debate. For those wanting a general “choral” approach, La Petite Bande and Sigiswald Kuijken present on their recording from the early 1990s an alternative to the authentic early performance style. La Petite Bande was founded in 1972 by Sigiswald Kuijken at the request of the record company Harmonia Mundi in order to record Lully’s “Le Bourgeois Gentilhomme,” under the direction of Gustav Leonhardt. The orchestra takes its name and constitution from Lully’s own orchestra at the court of Louis XIV. All its members are internationally renowned specialists in the early music field. La Petite Bande has recorded instrumental as well as vocal music, including operas and oratorios from the Baroque and Classical periods. La Petite Bande currently makes recordings for Accent, Challenge, Deutsche Harmonia Mundi, Denon, Seon/Virgin and Hyperion."
ACC         ,ACCENTUS,ACC80322,4.26023E+12,"GewandhausKinderchor; Elsner, Christian; Gerhaher, Christian; GewandhausChor; Gewandhausorchester Leipzig; MDR Rundfunkchor; Blomstedt, Herbert; Šaturová, Simona; Fujimura, Mihoko","Beethoven, Ludwig van; Schiller, Friedrich von",Beethoven: The Complete Symphonies,COMPACT DISC,5,$46.01 ,$70.99 ,2017-Jul-07,"In celebration of Herbert Blomstedt’s 90th Birthday in July 2017, Accentus Music releases a new Beethoven cycle that captures the spirit of the long-standing partnership between the legendary conductor laureate and the Gewandhausorchester Leipzig. All nine symphonies, released in a box set containing five CDs, are live recordings made at the Leipzig Gewandhaus between May 2014 and March 2017. Blomstedt's interpretations of Beethoven are based on a highly responsible handling of the scores and this conductor’s deep love of the truth, in which everything that is superimposed and overtly effective is fundamentally removed. At the same time however, the performances embrace the ethical conscience of the artist with his deep, almost seismographic musical sensibility and a high expressivity. Herbert Blomstedt is currently Conductor Laureate of the San Francisco Symphony and Honorary Conductor of the Bamberg Symphony, Danish National Symphony Orchestra, NHK Symphony, Swedish Radio Symphony, Leipzig Gewandhaus Orchestra and Staatskapelle Dresden."
ACTB        ,ACTB - BRILLIANT,ACT9826-2,6.14428E+11,"York, Pete; Dawson, Colin T.; Lhotzky, Bernd; Barnett, Shannon; Francel, Mulo; Hopkins, Chris; Parisien, Émile; Mewes, Oliver; Gailing, Henning","Ager, Milton; Barnett, Shannon; Beiderbecke, Bix; Conrad, Con; Dawson, Colin T.; Delaney, Tom; Edwards, Eddie; Francel, Mulo; Heywood, Donald; Hopkins, Chris; Jobim, Antônio Carlos; Kern, Jerome; LaRocca, Nick; Lhotzky, Bernd; Pinkard, Maceo; Robinson, J. Russell; Rodgers, Richard; Sbarbaro, Tony; Shields, Larry",Echoes of Swing: A Tribute to Bix Beiderbecke,COMPACT DISC,2,$21.05 ,$32.99 ,2017-Jul-07,"Our perceptions of major figures in music from previous epochs tend to change over the course of time. There may indeed be something of a paradox here, because the innovators of the past are often only truly recognized and appreciated by later generations. The more energetically and decisively a pioneer has broken with the past, the more he or she will have been mistrusted and cast aside in their lifetimes, and the more is required from the rear-view mirror of posterity before they can start to be treated with respect, let alone with honor. In the case of Bix Beiderbecke, however, we have a happy exception to this general rule. His particular combination of an immensely likeable character with a jaw-dropping talent was enough to ensure that doors would open for him. In his short lifetime, both musical colleagues and audiences responded to him with a combination of affection, astonishment and awe. This was in spite of the fact that, in his own serene and unusually gentle way, he was effecting a significant game-change in jazz. There wasn’t any sudden break, neither were there factions fighting either for or against him, and yet he was responsible for an astonishing advance in the music. It progressed, it palpably gained in substance through him. Bix Beiderbecke is far from being out on his own. There were other great talents which burned brightly in the jazz age, only to burn themselves out, but his life story and his nemesis were so tragic, they still have the power to affect one deeply. However, in his case, what remains alongside the confused heap of anecdotes and hearsay are his recordings, all of them made within a span of just five remarkable years. Here we enter the real world of Bix Beiderbecke, a universe created by a mind of a superior order. Bix’s world is filled with clarity and bathed in light."
AEL         ,AEOLUS,AE10144,4.0268E+12,VAN ASPEREN  MULLER,"OEVERING, REIJNOLD POPMA VON",SUITTES VOOR'T CLAVIER,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-21,"The VI Suittes voor’ t Clavier, Opera Prima by the 17-year-old Dutch composer Reijnold Popma van Oevering were the first to carry forward the innovative harpsichord suite concept of the French composer Francois Dieupart, whose “English” Suites begin with a substantial prelude or overture, a model that was to become widely imitated a few years later in northern Europe. Popma van Oevering’s Opera Prima, with a certain Italian and north German flavour while at the same time bearing witness to an individual style, was to become widely disseminated in Europe, as appears from the mark it left on composers including Bach, Handel and even Mozart. His six harpsichord suites are presented here for the first time as a complete recording, made partly on the monumental Christiaan Muller organ in Leeuwarden, built in 1727 upon the initiative of the composer."
AEL         ,AEOLUS,AE10391,4.0268E+12,MARKUS EICHENLAUB,"ROPARTZ, JOSEPH GUY",COMPLETE ORGAN WORKS,SACD,2,$31.19 ,$47.99 ,2017-Jul-21,"Markus Eichenlaub, Speyer's cathedral organist, is one of the most distinguished representatives of his field. At the Cavaille-Coll organ of the Cathedral Santa María la Réal in the Basque Azcoitia, he dedicates himself to works by Joseph Guy Ropartz. The student of Massenet and Dubois, whose oeuvre is almost forgotten today, was one of the most interesting protagonists of the rich French organ romantics."
AFF         ,AFFETTO RECORDS,AF1706,8.88296E+11,"Bangash, Ayaan Ali; Khan, Amjad Ali; Chatterjee, Anubrata; Bangash, Amaan Ali; Darvarova, Elmira","Darvarova, Elmira; Khan, Amjad Ali",Peace Worshipers,COMPACT DISC,1,$13.25 ,$20.99 ,2017-Jul-21,"Peace Worshippers represents the culmination of a collaboration between Amjad Ali Khan, the Titan of the sarod, straddling two centuries, universally venerated as one of the greatest living Indian musicians in any genre; his sons, disciples and widely acclaimed sarod virtuosi in their own right, Amaan Ali Bangash and Ayaan Ali Bangash; and the distinguished American violinist Elmira Darvarova, herself a historical figure as the first woman concertmaster of the Metropolitan Opera Orchestra in New York. This recording emerges from Amjad Ali Khan's deep and long abiding commitment to peace and tolerance both in the larger world as well as in the smaller communities of city, neighborhood, and the circles of family and friends - a commitment which has taken him to the United Nations and the Nobel Peace Prize Ceremony in Oslo as well as the greatest concert halls and performing venues around the world. This album is the fruit of an approach that these artists have championed in their trilogy of collaborative recordings, Soul Strings, then Amalgam and now Peace Worshipers - boldly sharing their respective traditions and genres with each other while keeping the integrity and character of those traditions intact and exploring the idiom and styles of the other with fearless, ferocious energy and generous enthusiasm. In this final volume, alongside the compositions of Amja Ali Khan, are works from regional folk traditions in India and Europe."
